name,id,uri
"ELEVANCE HEALTH, INC.",https://rdf.gleif.org/L1/L-8MYN82XMYQH89CTMTH67,https://company.org/resource/Elevance%20Health%2C%20Inc.
BAKER HUGHES EMEA UNLIMITED COMPANY,https://rdf.gleif.org/L1/L-GH1MB7KUVSN6JDATX935,https://company.org/resource/Baker%20Hughes%20Company
"INTUITIVE SURGICAL, INC.",https://rdf.gleif.org/L1/L-54930052SRG011710797,https://company.org/resource/Intuitive%20Surgical%2C%20Inc.
IQVIA HOLDINGS INC,https://rdf.gleif.org/L1/L-549300W3R20NM4KQPH86,https://company.org/resource/IQVIA%20Holdings%2C%20Inc.
AVERY DENNISON CORPORATION,https://rdf.gleif.org/L1/L-549300PW7VPFCYKLIV37,https://company.org/resource/Avery%20Dennison%20Corporation
SHOPIFY INC.,https://rdf.gleif.org/L1/L-549300HGQ43STJLLP808,https://company.org/resource/Shopify%20Inc.
EBAY INC.,https://rdf.gleif.org/L1/L-OML71K8X303XQONU6T67,https://company.org/resource/eBay%20Inc.
"MOTOROLA SOLUTIONS, INC.",https://rdf.gleif.org/L1/L-6S552MUG6KGJVEBSEC55,https://company.org/resource/Motorola%20Solutions%2C%20Inc.
"Fidelity National Financial, Inc.",https://rdf.gleif.org/L1/L-549300CAZYIH39SYQ287,https://company.org/resource/Fidelity%20National%20Financial
"SERVICENOW, INC.",https://rdf.gleif.org/L1/L-549300HJTQM36M0E1G39,https://company.org/resource/ServiceNow%2C%20Inc.
"The Travelers Companies, Inc.",https://rdf.gleif.org/L1/L-549300Y650407RU8B149,https://company.org/resource/The%20Travelers%20Companies%2C%20Inc.
THOMSON REUTERS CORPORATION,https://rdf.gleif.org/L1/L-549300561UZND4C7B569,https://company.org/resource/Thomson%20Reuters%20Corporation
Marvell Technology Group Ltd.,https://rdf.gleif.org/L1/L-8DF36O58U3QIHUCGZB18,https://company.org/resource/Marvell%20Technology%2C%20Inc.
"DICK'S SPORTING GOODS, INC.",https://rdf.gleif.org/L1/L-529900SSBV5I4LWSK313,https://company.org/resource/Dick%27s%20Sporting%20Goods%2C%20Inc.
Tenet Healthcare Corporation,https://rdf.gleif.org/L1/L-0W9AIBT6U6ADJ2I8HK17,https://company.org/resource/Tenet%20Healthcare%20Corporation
"GARTNER, INC.",https://rdf.gleif.org/L1/L-PP55B5R38BFB8O8HH686,https://company.org/resource/Gartner%2C%20Inc.
Viatris Inc.,https://rdf.gleif.org/L1/L-254900ZZTSW7NL773X71,https://company.org/resource/Viatris%20Inc.
COLGATE-PALMOLIVE COMPANY,https://rdf.gleif.org/L1/L-YMEGZFW4SBUSS5BQXF88,https://company.org/resource/Colgate-Palmolive%20Company
"AGILENT TECHNOLOGIES, INC.",https://rdf.gleif.org/L1/L-QUIX8Y7A2WP0XRMW7G29,https://company.org/resource/Agilent%20Technologies%2C%20Inc.
"UNITED AIRLINES HOLDINGS, INC.",https://rdf.gleif.org/L1/L-98450079DA0B78DD6764,https://company.org/resource/United%20Airlines%20Holdings%2C%20Inc.
"AutoZone, Inc.",https://rdf.gleif.org/L1/L-GA3JGKJ41LJKXDN23E90,https://company.org/resource/AutoZone%2C%20Inc.
KIMBERLY-CLARK CORPORATION,https://rdf.gleif.org/L1/L-MP3J6QPYPGN75NVW2S34,https://company.org/resource/Kimberly-Clark%20Corporation
INTERNATIONAL PAPER COMPANY,https://rdf.gleif.org/L1/L-824LMFJDH41EY779Q875,https://company.org/resource/International%20Paper%20Company
TRANE TECHNOLOGIES PUBLIC LIMITED COMPANY,https://rdf.gleif.org/L1/L-549300BURLR9SLYY2705,https://company.org/resource/Trane%20Technologies%20plc
